date,year,quarter,action,ticker,market,shares,price_local,currency,eur_usd_rate,amount_eur,return_pct
2019-01-31,2019,Q1 2019,BUY,ENPH,US,51.4426,7.23,USD,1.1444,325.0,
2019-01-31,2019,Q1 2019,BUY,VICR,US,9.4422,39.39,USD,1.1444,325.0,
2019-01-31,2019,Q1 2019,BUY,ARWR,US,26.3407,14.12,USD,1.1444,325.0,
2019-01-31,2019,Q1 2019,BUY,CIEN,US,9.7645,38.09,USD,1.1444,325.0,
2019-01-31,2019,Q1 2019,BUY,SLR,IBEX,55.6586,5.39,EUR,,300.0,
2019-01-31,2019,Q1 2019,BUY,NTGY,IBEX,12.3203,24.35,EUR,,300.0,
2019-04-30,2019,Q2 2019,SELL,VICR,US,9.4422,37.51,USD,1.1215,315.81,-2.83
2019-04-30,2019,Q2 2019,SELL,CIEN,US,9.7645,38.36,USD,1.1215,333.99,2.77
2019-04-30,2019,Q2 2019,SELL,NTGY,IBEX,12.3203,25.32,EUR,,311.95,3.98
2019-04-30,2019,Q2 2019,BUY,AMD,US,14.7296,27.63,USD,1.1215,362.89,
2019-04-30,2019,Q2 2019,BUY,LLY,US,3.4773,117.04,USD,1.1215,362.89,
2019-04-30,2019,Q2 2019,BUY,ANA,IBEX,3.2427,103.3,EUR,,334.97,
2019-07-31,2019,Q3 2019,SELL,SLR,IBEX,55.6586,5.375,EUR,,299.17,-0.28
2019-07-31,2019,Q3 2019,SELL,LLY,US,3.4773,108.95,USD,1.1074,342.11,-5.73
2019-07-31,2019,Q3 2019,SELL,ANA,IBEX,3.2427,96.3,EUR,,312.28,-6.78
2019-07-31,2019,Q3 2019,BUY,MELI,US,0.9725,621.42,USD,1.1074,545.75,
2019-07-31,2019,Q3 2019,BUY,CLNX,IBEX,14.9249,27.39,EUR,,408.79,
2019-10-31,2019,Q4 2019,SELL,AMD,US,14.7296,33.93,USD,1.115,448.23,23.52
2019-10-31,2019,Q4 2019,SELL,MELI,US,0.9725,521.52,USD,1.115,454.89,-16.65
2019-10-31,2019,Q4 2019,BUY,PDD,US,14.3782,40.88,USD,1.115,527.16,
2019-10-31,2019,Q4 2019,BUY,KLAC,US,2.4799,169.04,USD,1.115,375.96,
2020-01-31,2020,Q1 2020,SELL,PDD,US,14.3782,35.22,USD,1.1093,456.5,-13.4
2020-01-31,2020,Q1 2020,SELL,KLAC,US,2.4799,165.74,USD,1.1093,370.52,-1.45
2020-01-31,2020,Q1 2020,BUY,TER,US,10.5519,65.99,USD,1.1093,627.71,
2020-01-31,2020,Q1 2020,BUY,AMD,US,4.7042,47.0,USD,1.1093,199.31,
2020-04-30,2020,Q2 2020,SELL,ARWR,US,26.3407,34.43,USD,1.0955,827.85,154.72
2020-04-30,2020,Q2 2020,SELL,TER,US,10.5519,62.54,USD,1.0955,602.39,-4.03
2020-04-30,2020,Q2 2020,BUY,TSLA,US,15.2658,52.13,USD,1.0955,726.43,
2020-04-30,2020,Q2 2020,BUY,PDD,US,16.2525,47.44,USD,1.0955,703.8,
2020-07-31,2020,Q3 2020,SELL,ENPH,US,51.4426,60.36,USD,1.1774,2637.23,711.46
2020-07-31,2020,Q3 2020,SELL,AMD,US,4.7042,77.43,USD,1.1774,309.36,55.22
2020-07-31,2020,Q3 2020,BUY,VICR,US,14.5277,81.47,USD,1.1774,1005.24,
2020-07-31,2020,Q3 2020,BUY,NVDA,US,111.5522,10.61,USD,1.1774,1005.24,
2020-07-31,2020,Q3 2020,BUY,SLR,IBEX,72.3237,12.83,EUR,,927.91,
2020-10-31,2020,Q4 2020,SELL,PDD,US,16.2525,89.98,USD,1.1647,1255.6,78.4
2020-10-31,2020,Q4 2020,SELL,VICR,US,14.5277,78.0,USD,1.1647,972.92,-3.22
2020-10-31,2020,Q4 2020,BUY,BE,US,106.3401,12.64,USD,1.1647,1154.06,
